,0,1,2,3,4,5,6,7,8,9
2,1,2020112601000001,NABIL,6,6,50,1050,52500.00,,
3,2,2020112601000002,NABIL,37,6,13,1050,13650.00,,
4,3,2020112601000003,NABIL,37,38,50,1050,52500.00,,
5,4,2020112601000004,NIB,11,6,49,435,21315.00,,
6,5,2020112601000005,NIB,11,26,49,435,21315.00,,
7,6,2020112601000006,NIB,11,6,49,435,21315.00,,
8,7,2020112601000007,NIB,11,6,53,435,23055.00,,
9,8,2020112601000008,SCB,11,53,100,640,64000.00,,
10,9,2020112601000009,SBI,7,34,10,439,4390.00,,
11,10,2020112601000010,NBB,11,55,500,249,124500.00,,
12,11,2020112601000011,NBB,41,55,215,249,53535.00,,
13,12,2020112601000012,NBB,11,55,200,249,49800.00,,
14,13,2020112601000013,NBB,1,55,85,249,21165.00,,
15,14,2020112601000014,EBL,55,58,50,690,34500.00,,
16,15,2020112601000015,EBL,55,22,450,690,310500.00,,
17,16,2020112601000016,EBL,11,22,100,690,69000.00,,
18,17,2020112601000017,EBL,45,22,200,690,138000.00,,
19,18,2020112601000018,BOKL,44,41,72,257,18504.00,,
20,19,2020112601000019,BOKL,44,16,183,257,47031.00,,
21,20,2020112601000020,NICA,29,6,25,648,16200.00,,
22,21,2020112601000021,NICA,29,6,25,648,16200.00,,
23,22,2020112601000022,NICA,29,6,50,648,32400.00,,
24,23,2020112601000023,NICA,6,22,20,648,12960.00,,
25,24,2020112601000024,NICA,28,22,20,648,12960.00,,
26,25,2020112601000025,LBL,48,14,100,268,26800.00,,
27,26,2020112601000026,KBL,22,55,17,258,4386.00,,
28,27,2020112601000027,KBL,58,55,328,258,84624.00,,
29,28,2020112601000028,KBL,34,55,155,258,39990.00,,
30,29,2020112601000029,NCCB,10,57,200,245,49000.00,,
31,30,2020112601000030,NCCB,10,19,673,245,164885.00,,
32,31,2020112601000031,NCCB,10,57,100,245,24500.00,,
33,32,2020112601000032,SBL,47,41,50,351,17550.00,,
34,33,2020112601000033,SBL,11,41,50,351,17550.00,,
35,34,2020112601000034,SBL,11,55,150,351,52650.00,,
36,35,2020112601000035,SBL,57,55,50,351,17550.00,,
37,36,2020112601000036,SANIMA,45,34,50,320,16000.00,,
38,37,2020112601000037,UIC,52,1,10,513,5130.00,,
39,38,2020112601000038,LGIL,16,17,500,640,320000.00,,
40,39,2020112601000039,SICL,40,38,50,1806,90300.00,,
41,40,2020112601000040,SICL,40,53,20,1806,36120.00,,
42,41,2020112601000041,NMB,7,57,10,445,4450.00,,
43,42,2020112601000042,NMB,34,57,4,445,1780.00,,
44,43,2020112601000043,NMB,34,6,16,445,7120.00,,
45,44,2020112601000044,NMB,54,6,7,445,3115.00,,
46,45,2020112601000045,NMB,54,34,50,445,22250.00,,
47,46,2020112601000046,NMB,54,8,43,445,19135.00,,
48,47,2020112601000047,GBIME,58,6,21,314,6594.00,,
49,48,2020112601000048,GBIME,45,6,78,314,24492.00,,
50,49,2020112601000049,GBIME,45,29,22,314,6908.00,,
51,50,2020112601000050,GBIME,42,29,10,314,3140.00,,
52,51,2020112601000051,GBIME,29,29,268,314,84152.00,,
53,52,2020112601000052,CZBIL,16,39,100,235,23500.00,,
54,53,2020112601000053,CZBIL,38,39,100,235,23500.00,,
55,54,2020112601000054,CZBIL,38,39,100,235,23500.00,,
56,55,2020112601000055,CZBIL,47,39,500,235,117500.00,,
57,56,2020112601000056,CZBIL,16,39,200,235,47000.00,,
58,57,2020112601000057,CZBIL,21,39,500,235,117500.00,,
59,58,2020112601000058,CZBIL,38,39,100,235,23500.00,,
60,59,2020112601000059,CZBIL,41,39,900,235,211500.00,,
61,60,2020112601000060,CZBIL,41,41,100,235,23500.00,,
62,61,2020112601000061,CZBIL,48,41,5,235,1175.00,,
63,62,2020112601000062,PCBL,57,6,10,400,4000.00,,
64,63,2020112601000063,PCBL,48,6,41,400,16400.00,,
65,64,2020112601000064,AHPC,57,38,10,265,2650.00,,
66,65,2020112601000065,NBL,57,33,10,412,4120.00,,
67,66,2020112601000066,MEGA,57,6,10,258,2580.00,,
68,67,2020112601000067,MEGA,56,6,46,258,11868.00,,
69,68,2020112601000068,MEGA,56,55,454,258,117132.00,,
70,69,2020112601000069,SHPC,58,38,20,355,7100.00,,
71,70,2020112601000070,CCBL,50,6,74,205,15170.00,,
72,71,2020112601000071,CCBL,50,6,26,205,5330.00,,
73,72,2020112601000072,CCBL,50,6,51,205,10455.00,,
74,73,2020112601000073,CCBL,50,57,49,205,10045.00,,
75,74,2020112601000074,CCBL,38,57,51,205,10455.00,,
76,75,2020112601000075,CCBL,38,55,49,205,10045.00,,
77,76,2020112601000076,RHPC,41,38,10,186,1860.00,,
78,77,2020112601000077,RHPC,57,38,9,186,1674.00,,
79,78,2020112601000078,RHPC,57,6,1,186,186.00,,
80,79,2020112601000079,BARUN,44,54,20,217,4340.00,,
81,80,2020112601000080,BARUN,44,38,10,217,2170.00,,
82,81,2020112601000081,BARUN,44,39,50,217,10850.00,,
83,82,2020112601000082,BARUN,44,53,500,217,108500.00,,
84,83,2020112601000083,BARUN,44,44,800,217,173600.00,,
85,84,2020112601000084,BARUN,57,44,10,217,2170.00,,
86,85,2020112601000085,API,11,38,30,260,7800.00,,
87,86,2020112601000086,API,11,6,18,260,4680.00,,
88,87,2020112601000087,API,11,6,30,260,7800.00,,
89,88,2020112601000088,AKPL,57,6,10,275,2750.00,,
90,89,2020112601000089,AKPL,34,45,13,275,3575.00,,
91,90,2020112601000090,SPDL,3,29,30,246,7380.00,,
92,91,2020112601000091,UMHL,14,6,10,176,1760.00,,
93,92,2020112601000092,HPPL,45,57,50,250,12500.00,,
94,93,2020112601000093,AKJCL,49,58,10,153,1530.00,,
95,94,2020112601000094,AKJCL,49,4,100,153,15300.00,,
96,95,2020112601000095,AKJCL,49,48,20,153,3060.00,,
97,96,2020112601000096,AKJCL,49,51,70,153,10710.00,,
98,97,2020112601000097,AKJCL,43,51,30,153,4590.00,,
99,98,2020112601000098,AKJCL,43,22,90,153,13770.00,,
100,99,2020112601000099,AKJCL,10,22,10,153,1530.00,,
101,100,2020112601000100,AKJCL,10,25,30,153,4590.00,,
